	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	10.8462	0.0189	0.0192		0.9796	0.0208
10-20%	76.0189	0.1022	0.0500		0.8865	0.0950
20-30%	134.7074	0.1715	0.0227		0.8188	0.0314
30-40%	209.0328	0.2481	0.0260		0.7419	0.0399
40-50%	257.3542	0.3314	0.0332		0.6631	0.0515
50-60%	339.7070	0.4009	0.0318		0.6164	0.0672
60-70%	381.3526	0.4853	0.0371		0.5489	0.0381
70-80%	383.8493	0.5376	0.0351		0.4826	0.0733
80-90%	448.0520	0.6022	0.0546		0.5262	0.1035
90-100%	538.1540	0.7651	0.0377		0.3136	0.0423
total	24.0179	0.0779	0.1166	0.8326	0.9197	0.1177
