	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	8.6984	0.0205	0.0191		0.9782	0.0202
10-20%	57.6538	0.1017	0.0230		0.8959	0.0262
20-30%	124.0882	0.1760	0.0280		0.8233	0.0348
30-40%	175.2163	0.2655	0.0310		0.7431	0.0401
40-50%	243.4519	0.3383	0.0301		0.6632	0.0534
50-60%	279.7664	0.4243	0.0380		0.5997	0.0574
60-70%	324.9896	0.5021	0.0417		0.5286	0.0599
70-80%	319.3360	0.5911	0.0535		0.4918	0.0859
80-90%	383.5756	0.6614	0.0454		0.4232	0.0919
90-100%	420.1001	0.7880	0.0878		0.3506	0.1301
total	32.2672	0.1142	0.1680	0.7672	0.8907	0.1524
