	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	13.9203	0.0230	0.0198		0.9753	0.0211
10-20%	72.1882	0.1040	0.0235		0.8953	0.0298
20-30%	123.2598	0.1819	0.0253		0.8221	0.0429
30-40%	165.6171	0.2503	0.0287		0.7677	0.0541
40-50%	227.3703	0.3319	0.0269		0.7056	0.0657
50-60%	285.1691	0.4137	0.0370		0.6286	0.0781
60-70%	264.9608	0.4844	0.0409		0.5863	0.0830
70-80%	389.8121	0.5819	0.0485		0.4489	0.0932
80-90%	392.1318	0.6810	0.0667		0.4016	0.0675
90-100%	378.5809	0.6241	0.0626		0.3713	0.1359
total	38.7213	0.1186	0.1426	0.7225	0.8876	0.1315
