	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	11.6630	0.0203	0.0310		0.9782	0.0391
10-20%	84.8331	0.1015	0.0252		0.8917	0.0292
20-30%	158.9347	0.1792	0.0251		0.8108	0.0312
30-40%	212.7605	0.2553	0.0294		0.7299	0.0402
40-50%	252.6608	0.3271	0.0288		0.6634	0.0466
50-60%	325.9524	0.4048	0.0340		0.6098	0.0632
60-70%	421.7110	0.4561	0.0306		0.5714	0.0298
70-80%	453.6747	0.5341	0.0253		0.4557	0.0338
80-90%	552.4000	0.6413	0.0370		0.4531	0.0435
90-100%	590.6697	0.7013	0.0235		0.3445	0.0922
total	22.2820	0.0683	0.1039	0.8470	0.9290	0.1064
