	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	8.8037	0.0187	0.0291		0.9799	0.0369
10-20%	88.2794	0.1034	0.0218		0.8885	0.0271
20-30%	177.7212	0.1875	0.0241		0.8064	0.0356
30-40%	281.5858	0.2572	0.0266		0.7335	0.0311
40-50%	403.5728	0.3506	0.0381		0.6577	0.0649
50-60%	419.1434	0.4036	0.0258		0.6271	0.0809
60-70%	610.1615	0.5633	0.1128		0.4587	0.2243
70-80%	568.3107	0.5429	0.0638		0.5482	0.0424
80-90%	552.7627	0.6143	0.0342		0.4643	0.0419
90-100%	574.4934	0.7145	0.0816		0.6154	0.0967
total	18.4664	0.0502	0.0946	0.8769	0.9492	0.0906
