	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	16.0781	0.0250	0.0201		0.9743	0.0207
10-20%	77.9683	0.1017	0.0248		0.8974	0.0291
20-30%	145.9686	0.1832	0.0252		0.8160	0.0410
30-40%	176.2044	0.2509	0.0301		0.7531	0.0578
40-50%	248.5786	0.3331	0.0317		0.6842	0.0542
50-60%	327.8865	0.4078	0.0317		0.6191	0.0593
60-70%	387.5464	0.4613	0.0332		0.5797	0.0775
70-80%	367.5345	0.5507	0.0254		0.5610	0.0995
80-90%	394.9965	0.6363	0.0662		0.4064	0.0931
90-100%	557.9044	0.6673	0.0320		0.3164	0.0962
total	36.5933	0.0979	0.1177	0.7442	0.9039	0.1134
