	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	9.4393	0.0189	0.0186		0.9795	0.0198
10-20%	101.4234	0.1131	0.0247		0.8822	0.0261
20-30%	194.4061	0.1884	0.0238		0.7976	0.0329
30-40%	203.4771	0.2596	0.0267		0.7142	0.0348
40-50%	234.7557	0.3343	0.0270		0.6329	0.0351
50-60%	281.6963	0.4099	0.0337		0.5675	0.0470
60-70%	305.4681	0.4769	0.0433		0.5102	0.0570
70-80%	338.2623	0.5381	0.0221		0.4499	0.0761
80-90%	417.9393	0.6248	0.0230		0.3750	0.0549
90-100%	458.8848	0.7224	0.0167		0.3176	0.0806
total	34.6803	0.1052	0.1394	0.7547	0.8877	0.1479
