	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	8.2429	0.0154	0.0160		0.9840	0.0176
10-20%	56.0761	0.0822	0.0236		0.9177	0.0316
20-30%	101.2145	0.1470	0.0258		0.8617	0.0429
30-40%	163.8602	0.2174	0.0313		0.7986	0.0568
40-50%	197.3513	0.2948	0.0428		0.7364	0.0746
50-60%	259.0799	0.3599	0.0368		0.6821	0.0844
60-70%	340.1389	0.4631	0.0515		0.5979	0.0539
70-80%	316.2006	0.4860	0.0433		0.5327	0.1198
80-90%	332.6209	0.5340	0.0704		0.6036	0.1348
90-100%	434.4655	0.7280	0.0450		0.3379	0.0178
total	18.5414	0.0676	0.1053	0.8690	0.9361	0.0980
