	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	10.5542	0.0200	0.0190		0.9786	0.0201
10-20%	78.6962	0.1056	0.0241		0.8923	0.0281
20-30%	137.2050	0.1751	0.0258		0.8243	0.0359
30-40%	213.2251	0.2487	0.0319		0.7589	0.0444
40-50%	286.8938	0.3375	0.0332		0.6841	0.0584
50-60%	304.1499	0.4058	0.0457		0.6355	0.0805
60-70%	351.2001	0.4732	0.0428		0.6053	0.0756
70-80%	410.2595	0.5691	0.0750		0.5266	0.0951
80-90%	536.6479	0.6315	0.0533		0.4615	0.1005
90-100%	470.7629	0.7334	0.0500		0.4832	0.1120
total	32.1998	0.0956	0.1362	0.7745	0.9092	0.1214
