	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	6.8670	0.0164	0.0160		0.9828	0.0175
10-20%	43.7954	0.0854	0.0212		0.9181	0.0270
20-30%	110.0903	0.1521	0.0267		0.8554	0.0418
30-40%	165.5727	0.2309	0.0340		0.7858	0.0494
40-50%	239.5865	0.2994	0.0365		0.7069	0.0717
50-60%	289.1452	0.3864	0.0499		0.6521	0.0753
60-70%	300.2308	0.4831	0.0442		0.5755	0.0639
70-80%	323.0384	0.5270	0.0758		0.5558	0.1044
80-90%	387.9306	0.6309	0.0644		0.4856	0.0972
90-100%	401.5743	0.7786	0.0704		0.3536	0.1392
total	30.7321	0.1014	0.1574	0.7818	0.9070	0.1389
