	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	7.7178	0.0159	0.0157		0.9842	0.0159
10-20%	59.5220	0.0877	0.0231		0.9217	0.0306
20-30%	97.7998	0.1489	0.0268		0.8674	0.0462
30-40%	180.2487	0.2172	0.0339		0.8165	0.0498
40-50%	214.7834	0.2947	0.0430		0.7547	0.0831
50-60%	229.4552	0.3578	0.0605		0.7166	0.1026
60-70%	262.3118	0.4309	0.0543		0.6869	0.1019
70-80%	289.0224	0.4738	0.1110		0.6224	0.1232
80-90%	341.5089	0.5431	0.0921		0.5520	0.1368
90-100%	447.8771	0.6844	0.1223		0.5038	0.1839
total	24.4685	0.0819	0.1215	0.8283	0.9303	0.1017
