	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	11.0437	0.0186	0.0169		0.9814	0.0172
10-20%	58.0211	0.0872	0.0242		0.9220	0.0314
20-30%	101.9822	0.1579	0.0299		0.8632	0.0506
30-40%	150.5505	0.2226	0.0326		0.8149	0.0595
40-50%	204.5157	0.2987	0.0316		0.7678	0.0848
50-60%	276.3901	0.3710	0.0526		0.6958	0.1032
60-70%	273.6700	0.4511	0.0523		0.6553	0.1102
70-80%	396.6866	0.5527	0.0701		0.5360	0.1135
80-90%	395.1490	0.6561	0.0772		0.4589	0.0828
90-100%	449.7625	0.7111	0.0573		0.3777	0.1545
total	35.1628	0.1061	0.1354	0.7511	0.9102	0.1157
