	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	8.8084	0.0161	0.0165		0.9832	0.0181
10-20%	66.4452	0.0860	0.0254		0.9125	0.0324
20-30%	137.9364	0.1558	0.0297		0.8545	0.0470
30-40%	172.9788	0.2268	0.0388		0.7879	0.0617
40-50%	222.0609	0.2995	0.0395		0.7301	0.0726
50-60%	275.7766	0.3674	0.0419		0.6826	0.0861
60-70%	397.2198	0.4136	0.0479		0.6507	0.0466
70-80%	446.6287	0.5079	0.0372		0.5062	0.0664
80-90%	410.0262	0.5845	0.0394		0.4825	0.0493
90-100%	659.8047	0.7291	0.0463		0.3483	0.0152
total	18.3134	0.0597	0.0947	0.8737	0.9429	0.0884
