	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	7.1936	0.0151	0.0157		0.9838	0.0175
10-20%	72.6049	0.0894	0.0211		0.9049	0.0284
20-30%	154.1177	0.1605	0.0229		0.8462	0.0426
30-40%	236.4758	0.2315	0.0271		0.7750	0.0467
40-50%	274.7698	0.3025	0.0485		0.7140	0.0943
50-60%	318.8750	0.3527	0.0645		0.6966	0.0991
60-70%	460.8108	0.4599	0.0606		0.6319	0.1437
70-80%	339.6845	0.4149	0.0988		0.6885	0.1165
80-90%	378.6002	0.5117	0.0895		0.5768	0.0881
90-100%	381.8695	0.6646	0.1326		0.6380	0.1157
total	14.7632	0.0423	0.0800	0.9015	0.9587	0.0712
