	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	12.0713	0.0199	0.0167		0.9808	0.0170
10-20%	61.4671	0.0840	0.0238		0.9220	0.0289
20-30%	123.7453	0.1590	0.0295		0.8556	0.0476
30-40%	156.8396	0.2224	0.0327		0.8009	0.0648
40-50%	223.2788	0.2902	0.0337		0.7347	0.0677
50-60%	300.6491	0.3567	0.0433		0.6929	0.0920
60-70%	363.5040	0.4381	0.0425		0.6155	0.0985
70-80%	377.0317	0.5277	0.0717		0.6188	0.0755
80-90%	346.8123	0.6185	0.0782		0.4382	0.0959
90-100%	549.1864	0.6179	0.0474		0.4160	0.1333
total	31.5379	0.0859	0.1092	0.7824	0.9220	0.1007
