	fid	lpips	lpips	lpips_fid100_f1	ssim	ssim
	mean	mean	std	mean	mean	std
0-10%	7.7240	0.0164	0.0168		0.9821	0.0183
10-20%	86.3006	0.1011	0.0233		0.8961	0.0280
20-30%	181.5011	0.1756	0.0254		0.8186	0.0339
30-40%	200.5333	0.2467	0.0325		0.7432	0.0434
40-50%	246.9232	0.3195	0.0310		0.6724	0.0492
50-60%	269.9640	0.3884	0.0362		0.6152	0.0583
60-70%	290.8232	0.4565	0.0436		0.5751	0.0712
70-80%	358.3068	0.5131	0.0303		0.5055	0.0750
80-90%	334.5596	0.6183	0.0289		0.4440	0.0674
90-100%	461.4089	0.7204	0.0144		0.2927	0.0734
total	33.4485	0.0984	0.1338	0.7653	0.8999	0.1337
